,NOC,Glod,Silver,Bronze,Total
0,USA,46,45,41,132
1,CHN,40,29,24,93
6,GBR,23,19,19,61
4,FRA,16,20,16,52
2,JPN,19,15,16,50
3,AUS,14,13,17,44
9,GER,14,12,17,43
8,ITA,11,7,15,33
5,NED,12,8,12,32
11,CAN,7,9,12,28
7,KOR,10,8,9,27
18,BRA,6,7,10,23
14,ESP,5,7,8,20
10,NZL,7,5,6,18
13,HUN,6,5,6,17
40,POL,3,6,6,15
20,UKR,3,4,7,14
15,SWE,4,5,4,13
46,SUI,2,4,5,11
27,DEN,3,3,4,10
16,KEN,5,3,2,10
30,CUB,3,2,5,10
42,JAM,3,3,3,9
39,ISR,2,4,3,9
33,TPE,2,2,4,8
62,TUR,1,2,4,7
25,SRB,3,1,3,7
26,CZE,2,2,3,7
38,INA,3,2,2,7
41,KAZ,1,3,3,7
12,UZB,2,2,3,7
19,IRI,2,3,2,7
29,CRO,1,2,3,6
22,GEO,2,2,2,6
21,ROU,2,2,2,6
63,MEX,1,2,2,5
50,ARG,1,1,3,5
68,LTU,1,2,2,5
45,ETH,2,2,1,5
23,BEL,1,1,3,5
24,BUL,2,1,2,5
17,NOR,2,1,2,5
32,SLO,2,1,2,5
28,AZE,1,2,2,5
48,POR,1,2,1,4
69,IND,1,0,3,4
65,COL,0,2,2,4
51,EGY,1,1,2,4
44,THA,1,2,1,4
43,RSA,1,1,2,4
47,ECU,1,1,1,3
49,GRE,0,1,2,3
52,TUN,1,1,1,3
75,MGL,0,1,2,3
73,FIJ,1,1,1,3
56,UGA,1,1,1,3
57,DOM,1,1,1,3
34,AUT,1,0,2,3
67,PRK,0,1,2,3
80,MAS,0,1,1,2
71,KOS,1,1,0,2
66,KGZ,0,1,1,2
88,SVK,0,1,1,2
37,ALG,1,0,1,2
64,ARM,0,1,1,2
36,PHI,1,0,1,2
35,HKG,1,0,1,2
31,BRN,1,0,1,2
76,PAN,0,1,0,1
87,SGP,0,0,1,1
86,EOR,0,0,1,1
85,QAT,0,0,1,1
84,PER,0,0,1,1
81,PUR,0,0,1,1
77,TJK,0,0,1,1
54,CHI,0,1,0,1
72,CYP,0,1,0,1
70,MDA,0,0,1,1
58,GUA,0,0,1,1
59,MAR,0,0,1,1
53,BOT,0,0,0,0
74,JOR,0,0,0,0
61,PAK,0,0,0,0
78,ALB,0,0,0,0
79,GRN,0,0,0,0
82,CPV,0,0,0,0
83,CIV,0,0,0,0
55,LCA,0,0,0,0
60,DMA,0,0,0,0
89,ZAM,0,0,0,0
